MainCategory,Subcategory,Part Number
UTP,Allahabad Service,ALBD-OA
UTP,Allahabad Service,ALBD-SERV
UTP,Allahabad Service,ALDSER-DEM
UTP,Allahabad Service,ALDSER-DOA
PNB,Amritsar Store,AMRT-DEMO
PNB,Amritsar Store,AMRT-DOA
PNB,Amritsar Store,AMRT-PJB
CHD,35C Store,CHD-CAP
DEL,CP Service Center,CP-DEMO
DEL,CP Service Center,CP-OA
DEL,CP Service Center,CP-SERV
DEL,Amazon,DEL-AMZ
DEL,Head Office,DEL-CAP
DEL,CP Service Center,DEL-CP
DEL,Delhi Service,DEL-CSMT
DEL,Head Office,DEL-DEMO2
DEL,Head Office,DEL-DUMP
DEL,Delhi Service Refurbished Business,DEL-FRBD
DEL,Head Office,DEL-ISD
DEL,Jasola,DEL-JSL
DEL,Malviya Nagar,DELMAL-DEM
DEL,Malviya Nagar,DELMAL-DOA
DEL,Select City Walk Store,DELMAL-SKT
DEL,Malviya Nagar,DEL-MALVIY
DEL,Delhi Service,DEL-OA
DEL,Head Office,DEL-OK
DEL,Punjabi Bagh Store,DEL-PJB
DEL,Punjabi Bagh Store,DEL-PJBDEM
DEL,Punjabi Bagh Store,DEL-PJBDOA
DEL,Paytm,DEL-PTM
DEL,PVR Anupam Store,DEL-PVR
DEL,PVR Anupam Store,DEL-PVRDEM
DEL,PVR Anupam Store,DEL-PVRDOA
DEL,Select City Walk Store,DELPVR-SKT
DEL,Select City Walk Store,DEL-SAKET
DEL,Delhi Service,DELS-DEMO
DEL,Delhi Service,DEL-SERV
DEL,Select City Walk Store,DEL-SKTDEM
DEL,Select City Walk Store,DELSKT-DOA
DEL,Malviya Nagar,DELSKT-MAL
DEL,Punjabi Bagh Store,DELSKT-PJB
DEL,PVR Anupam Store,DELSKT-PVR
DEL,Delhi Service,DELSKT-SER
DEL,SMB Business,DEL-SMB
CHD,Dyson Elante Mall,DYS-ELANTE
CHD,Dyson Elante Mall,DYS-EMDEM
DEL,Vegas Mall,DYS-VEGAS
DEL,Vegas Mall,DYS-VGSDEM
UTP,EBS Allahabad Store,EBS-ALHCVL
PNB,EBS Amritsar Store,EBS-AMTMOA
CHD,eCommerce,EBS-CHD
CHD,EBS Elante Store,EBS-CHDELT
CHD,EBS 35C Chandigarh,EBS-CHDS35
DEL,eCommerce,EBS-DEL
DEL,EBS Connaught Place,EBS-DELCP
DEL,EBS Punjabi Bagh Store,EBS-DELPJB
DEL,EBS PVR Anupam Store,EBS-DELPVR
DEL,EBS Select City Walk Store,EBS-DELSCW
DEL,EBS SMB Business,EBS-DELSMB
CHD,Dyson Elante Mall,EBS-ELANTE
HRY,eCommerce,EBS-GGN
HRY,EBS IRIS broadway sector 85 ,EBS-GGNIRI
HRY,EBS MGF Store,EBS-GGNMGF
HRY,EBS Sohna Road,EBS-GGNSOH
HRY,EBS Gurgaon South Point,EBS-GGNSPT
HRY,EBS Worldmark Store,EBS-GGNWMG
PNB,EBS Jalandhar Store,EBS-JALMDT
JNK,EBS Jammu Store,EBS-JAMWAV
RAJ,EBS Jodhpur Store,EBS-JDHSRD
RAJ,eCommerce,EBS-JPR
RAJ,EBS MI Road,EBS-JPRMIR
RAJ,EBS Jaipur Service Center,EBS-JPRSER
RAJ,EBS Triton Store,EBS-JPRTRT
RAJ,EBS WTP Store,EBS-JPRWTP
WBL,eCommerce,EBS-KOL
WBL,EBS Elgin Kolkata,EBS-KOLELG
WBL,EBS Park Street,EBS-KOLPRK
WBL,EBS SCM Kolkata,EBS-KOLSCM
