MainCategory,Subcategory,Part Number,UPC/EAN,Description,SAP Part Description,MRP
Mac,MacBook Air,MGN63HN/A,1.94E+11,"13-inch MacBook Air: Apple M1 chip with 8-core CPU and 7-core GPU, 256GB - Space Grey",MBA 13.3 SPG/8C CPU/7C GPU/8GB/256GB-HIN,92900
Mac,MacBook Air,MGN73HN/A,1.94E+11,"13-inch MacBook Air: Apple M1 chip with 8-core CPU and 8-core GPU, 512GB - Space Grey",MBA 13.3 SPG/8C CPU/8C GPU/8GB/512GB-HIN,117900
Mac,MacBook Air,MGN93HN/A,1.94E+11,"13-inch MacBook Air: Apple M1 chip with 8-core CPU and 7-core GPU, 256GB - Silver",MBA 13.3 SLV/8C CPU/7C GPU/8GB/256GB-HIN,92900
Mac,MacBook Air,MGNA3HN/A,1.94E+11,"13-inch MacBook Air: Apple M1 chip with 8-core CPU and 8-core GPU, 512GB - Silver",MBA 13.3 SLV/8C CPU/8C GPU/8GB/512GB-HIN,117900
Mac,MacBook Air,MGND3HN/A,1.94E+11,"13-inch MacBook Air: Apple M1 chip with 8-core CPU and 7-core GPU, 256GB - Gold",MBA 13.3 GLD/8C CPU/7C GPU/8GB/256GB-HIN,92900
Mac,MacBook Air,MGNE3HN/A,1.94E+11,"13-inch MacBook Air: Apple M1 chip with 8-core CPU and 8-core GPU, 512GB - Gold",MBA 13.3 GLD/8C CPU/8C GPU/8GB/512GB-HIN,117900
Mac,MacBook Pro,MVVJ2HN/A,1.90E+11,"16-inch MacBook Pro with Touch Bar: 2.6GHz 6-core 9th-generation Intel Core i7 processor, 512GB - Space Grey",MBP 16.0 SG/2.6G 6C/16GB/5300M/512GB-HIN,199900
Mac,MacBook Pro,MVVK2HN/A,1.90E+11,"16-inch MacBook Pro with Touch Bar: 2.3GHz 8-core 9th-generation Intel Core i9 processor, 1TB - Space Grey",MBP 16.0 SG/2.3GHZ 8C/16GB/5500M/1TB-HIN,239900
Mac,MacBook Pro,MVVL2HN/A,1.90E+11,"16-inch MacBook Pro with Touch Bar: 2.6GHz 6-core 9th-generation Intel Core i7 processor, 512GB - Silver",MBP 16.0 SL/2.6G 6C/16GB/5300M/512GB-HIN,199900
Mac,MacBook Pro,MVVM2HN/A,1.90E+11,"16-inch MacBook Pro with Touch Bar: 2.3GHz 8-core 9th-generation Intel Core i9 processor, 1TB - Silver",MBP 16.0 SL/2.3GHZ 8C/16GB/5500M/1TB-HIN,239900
Mac,MacBook Pro,MWP42HN/A,1.90E+11,"13-inch MacBook Pro with Touch Bar: 2.0GHz quad-core 10th-generation Intel Core i5 processor, 512GB - Space Grey",MBP 13.3 SG/2.0GHZ QC/16GB/512GB-HIN,174900
Mac,MacBook Pro,MWP52HN/A,1.90E+11,"13-inch MacBook Pro with Touch Bar: 2.0GHz quad-core 10th-generation Intel Core i5 processor, 1TB - Space Grey",MBP 13.3 SG/2.0GHZ QC/16GB/1TB-HIN,194900
Mac,MacBook Pro,MWP72HN/A,1.90E+11,"13-inch MacBook Pro with Touch Bar: 2.0GHz quad-core 10th-generation Intel Core i5 processor, 512GB - Silver",MBP 13.3 SL/2.0GHZ QC/16GB/512GB-HIN,174900
Mac,MacBook Pro,MWP82HN/A,1.90E+11,"13-inch MacBook Pro with Touch Bar: 2.0GHz quad-core 10th-generation Intel Core i5 processor, 1TB - Silver",MBP 13.3 SL/2.0GHZ QC/16GB/1TB-HIN,194900
Mac,MacBook Pro,MYD82HN/A,1.94E+11,"13-inch MacBook Pro: Apple M1 chip with 8‑core CPU and 8‑core GPU, 256GB SSD - Space Grey",MBP 13.3 SPG/8C CPU/8C GPU/8GB/256GB-HIN,122900
Mac,MacBook Pro,MYD92HN/A,1.94E+11,"13-inch MacBook Pro: Apple M1 chip with 8‑core CPU and 8‑core GPU, 512GB SSD - Space Grey",MBP 13.3 SPG/8C CPU/8C GPU/8GB/512GB-HIN,142900
Mac,MacBook Pro,MYDA2HN/A,1.94E+11,"13-inch MacBook Pro: Apple M1 chip with 8‑core CPU and 8‑core GPU, 256GB SSD - Silver",MBP 13.3 SLV/8C CPU/8C GPU/8GB/256GB-HIN,122900
Mac,MacBook Pro,MYDC2HN/A,1.94E+11,"13-inch MacBook Pro: Apple M1 chip with 8‑core CPU and 8‑core GPU, 512GB SSD - Silver",MBP 13.3 SLV/8C CPU/8C GPU/8GB/512GB-HIN,142900
Mac,Mac mini,MGNR3HN/A,1.94E+11,"Mac mini: Apple M1 chip with 8‑core CPU and 8‑core GPU, 256GB SSD",MAC MINI/8C CPU/8C GPU/8GB/256GB-HIN,64900
Mac,Mac mini,MGNT3HN/A,1.94E+11,"Mac mini: Apple M1 chip with 8‑core CPU and 8‑core GPU, 512GB SSD",MAC MINI/8C CPU/8C GPU/8GB/512GB-HIN,84900
Mac,Mac mini,MXNG2HN/A,1.90E+11,"Mac mini: 3.0GHz 6-core 8th-generation Intel Core i5 processor, 512GB",MAC MINI SG/3.0GHZ 6C/8GB/512GB-HIN,104900
Mac,iMac,MGPC3HN/A,1.94E+11,"24-inch iMac with Retina 4.5K display: Apple M1 chip with 8‑core CPU and 8‑core GPU, 256GB - Silver","IMAC 24"" SLV/8C CPU/8C GPU/8GB/256GB-HIN",139900
Mac,iMac,MGPD3HN/A,1.94E+11,"24-inch iMac with Retina 4.5K display: Apple M1 chip with 8‑core CPU and 8‑core GPU, 512GB - Silver","IMAC 24"" SLV/8C CPU/8C GPU/8GB/512GB-HIN",159900
Mac,iMac,MGPH3HN/A,1.94E+11,"24-inch iMac with Retina 4.5K display: Apple M1 chip with 8‑core CPU and 8‑core GPU, 256GB - Green","IMAC 24"" GRN/8C CPU/8C GPU/8GB/256GB-HIN",139900
Mac,iMac,MGPJ3HN/A,1.94E+11,"24-inch iMac with Retina 4.5K display: Apple M1 chip with 8‑core CPU and 8‑core GPU, 512GB - Green","IMAC 24"" GREEN/8C CPU/8C GPU/8GB/512-HIN",159900
Mac,iMac,MGPK3HN/A,1.94E+11,"24-inch iMac with Retina 4.5K display: Apple M1 chip with 8‑core CPU and 8‑core GPU, 256GB - Blue","IMAC 24"" BLU/8C CPU/8C GPU/8GB/256GB-HIN",139900
Mac,iMac,MGPL3HN/A,1.94E+11,"24-inch iMac with Retina 4.5K display: Apple M1 chip with 8‑core CPU and 8‑core GPU, 512GB - Blue","IMAC 24"" BLU/8C CPU/8C GPU/8GB/512GB-HIN",159900
Mac,iMac,MGPM3HN/A,1.94E+11,"24-inch iMac with Retina 4.5K display: Apple M1 chip with 8‑core CPU and 8‑core GPU, 256GB - Pink","IMAC 24"" PNK/8C CPU/8C GPU/8GB/256GB-HIN",139900
Mac,iMac,MGPN3HN/A,1.94E+11,"24-inch iMac with Retina 4.5K display: Apple M1 chip with 8‑core CPU and 8‑core GPU, 512GB - Pink","IMAC 24"" PNK/8C CPU/8C GPU/8GB/512GB-HIN",159900
Mac,iMac,MGTF3HN/A,1.94E+11,"24-inch iMac with Retina 4.5K display: Apple M1 chip with 8‑core CPU and 7‑core GPU, 256GB - Silver","IMAC 24"" SLV/8C CPU/7C GPU/8GB/256GB-HIN",119900
Mac,iMac,MHK03HN/A,1.94E+11,"21.5-inch iMac: 2.3GHz dual-core 7th-generation Intel Core i5 processor, 256GB","IMAC 21.5""/2.3DC/8GB/256GB-HIN",99900
Mac,iMac,MJV83HN/A,1.94E+11,"24-inch iMac with Retina 4.5K display: Apple M1 chip with 8‑core CPU and 7‑core GPU, 256GB - Green","IMAC 24"" GRN/8C CPU/7C GPU/8GB/256GB-HIN",119900
Mac,iMac,MJV93HN/A,1.94E+11,"24-inch iMac with Retina 4.5K display: Apple M1 chip with 8‑core CPU and 7‑core GPU, 256GB - Blue","IMAC 24"" BLU/8C CPU/7C GPU/8GB/256GB-HIN",119900
Mac,iMac,MJVA3HN/A,1.94E+11,"24-inch iMac with Retina 4.5K display: Apple M1 chip with 8‑core CPU and 7‑core GPU, 256GB - Pink","IMAC 24"" PNK/8C CPU/7C GPU/8GB/256GB-HIN",119900
Mac,iMac,MXWT2HN/A,1.90E+11,"27-inch iMac with Retina 5K display: 3.1GHz 6-core 10th-generation Intel Core i5 processor, 256GB","IMAC 27""/3.1GHZ 6C/8GB/256GB/RP5300-HIN",169900
Mac,iMac,MXWU2HN/A,1.90E+11,"27-inch iMac with Retina 5K display: 3.3GHz 6-core 10th-generation Intel Core i5 processor, 512GB","IMAC 27""/3.3GHZ 6C/8GB/512GB/RP5300-HIN",189900
Mac,iMac,MXWV2HN/A,1.90E+11,"27-inch iMac with Retina 5K display: 3.8GHz 8-core 10th-generation Intel Core i7 processor, 512GB","IMAC 27""/3.8 8C/8GB/512GB/RP5500XT-HIN",219900
Mac,Apple Mac Accessories,MC704ZM/A,8.86E+11,Apple USB Ethernet Adapter,APPLE USB ETHERNET ADAPTER - ZML,2900
